SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
753,2/04/20,British Columbia,Canada,2020-02-01T18:12:49,1,0,0
754,2/04/20,"London, ON",Canada,2020-02-04T00:03:11,1,0,0
755,2/04/20,,Finland,2020-01-31T08:15:53,1,0,0
756,2/04/20,Tibet,Mainland China,2020-02-01T01:52:40,1,0,0
757,2/04/20,,Nepal,2020-01-31T08:15:53,1,0,0
758,2/04/20,,Spain,2020-02-01T23:43:02,1,0,0
759,2/04/20,,Sri Lanka,2020-01-31T08:15:53,1,0,0
760,2/04/20,,Sweden,2020-02-01T02:13:26,1,0,0
761,2/04/20,"Boston, MA",United States of America,2020-02-01T19:43:03,1,0,0
762,2/04/20,"Los Angeles, CA",United States of America,2020-02-01T19:53:03,1,0,0
763,2/04/20,"Orange, CA",United States of America,2020-02-01T19:53:03,1,0,0
764,2/04/20,"Seattle, WA",United States of America,2020-02-01T19:43:03,1,0,0
765,2/04/20,"Tempe, AZ",United States of America,2020-02-01T19:43:03,1,0,0
766,2/05/20,Hubei,Mainland China,2020-02-05T23:13:12,19665,549,633
767,2/05/20,Guangdong,Mainland China,2020-02-05T13:23:04,895,0,49
768,2/05/20,Zhejiang,Mainland China,2020-02-05T15:13:02,895,0,78
769,2/05/20,Henan,Mainland China,2020-02-05T15:03:02,764,2,47
770,2/05/20,Hunan,Mainland China,2020-02-05T15:23:02,661,0,54
771,2/05/20,Jiangxi,Mainland China,2020-02-05T01:33:07,548,0,27
772,2/05/20,Anhui,Mainland China,2020-02-05T13:43:02,530,0,23
773,2/05/20,Chongqing,Mainland China,2020-02-05T23:43:02,389,2,15
774,2/05/20,Jiangsu,Mainland China,2020-02-05T12:43:02,341,0,23
775,2/05/20,Shandong,Mainland China,2020-02-05T10:13:13,307,0,15
776,2/05/20,Sichuan,Mainland China,2020-02-05T10:13:13,301,1,24
777,2/05/20,Beijing,Mainland China,2020-02-05T05:43:02,253,1,24
778,2/05/20,Shanghai,Mainland China,2020-02-05T06:23:04,243,1,15
779,2/05/20,Fujian,Mainland China,2020-02-05T12:33:01,205,0,11
780,2/05/20,Heilongjiang,Mainland China,2020-02-05T12:13:04,190,2,7
781,2/05/20,Shaanxi,Mainland China,2020-02-05T08:43:01,165,0,6
782,2/05/20,Guangxi,Mainland China,2020-02-05T12:03:08,150,0,13
783,2/05/20,Hebei,Mainland China,2020-02-05T11:23:18,135,1,6
784,2/05/20,Yunnan,Mainland China,2020-02-05T23:33:02,128,0,5
785,2/05/20,Hainan,Mainland China,2020-02-05T16:43:04,99,1,5
786,2/05/20,Liaoning,Mainland China,2020-02-05T15:23:02,89,0,4
787,2/05/20,Shanxi,Mainland China,2020-02-05T15:23:02,81,0,5
